"Prefijo,Pais,Region,Ciudad;CP"
138.117.76.0/22,AR,AR-N,Posadas,3300
170.83.124.0/22,AR,AR-N,Posadas,3300
2803:440::/32,AR,AR-N,Posadas,3300
